date,News,source
2024-11-14,"[[ 11월 15일 ]] ""급등"" 예정인 종목 5개, 신청시 문자 즉시 발송!!",인포스탁
2024-11-14,"이복현, 공매도 실책 인정…""공매도 금지 낯 부끄러운 일""",아시아경제
2024-11-14,이복현 “공매도 전면금지 낯부끄러운 일···내년엔 거래 재개해 투자자 유치할 것”,서울경제
2024-11-14,"[단독] 고려아연, 지난달 사내근로복지기금 설립···'임직원 백기사' 카드 꺼낸다",서울경제
2024-11-14,"고려아연, 사내근로복지기금 설립",머니투데이
2024-11-14,"행동주의 플랫폼'헤이홀더', 고려아연 경영권  ""비젼 대결로 가야""",조세일보
2024-11-14,트럼프 리스크' 덮친 밸류업···지수편입 100곳 중 12곳만 공시,서울경제
2024-11-14,"소액주주행동 플랫폼 ""고려아연 결단 환영…경영권 표 대결, 양측 비전이 좌우""",인포스탁
2024-11-14,"[IB토마토](유증레이다)고려아연, 유상증자 철회…주주총회 '운명의 날' 맞나",뉴스토마토
2024-11-14,"고려아연 경영권 노리는 영풍, 3분기 적자 전환…영업손실 179억원 기록",인포스탁
2024-11-14,"고려아연, 경영권 분쟁에 가려진 진짜 부담은 '3조' 차입금 청구서 [투자360]",헤럴드경제
2024-11-14,고려아연(주) 소송 등의 제기ㆍ신청(경영권 분쟁 소송),거래소공시
2024-11-14,종가 동시호가 특이 종목(코스피/코스닥),인포스탁
2024-11-14,"영풍-MBK ""고려아연 이사, 약 6700억 손해배상""[fn마켓워치]",파이낸셜뉴스
2024-11-14,"고려아연 노리는 영풍 3분기 실적에 쏠리는 눈…""상반기엔 영업손실 431억원""",인포스탁
2024-11-14,[현장에서] 결국 정공법(正攻法)이 통한다,뉴스핌
2024-11-14,표대결 치닫는 고려아연 vs 영풍·MBK… '경영능력' 입증 관건,인포스탁
2024-11-14,"영풍, 3Q 실적 공개 임박...고려아연 경영권 확보할 실력 입증할까",뉴스핌
2024-11-14,"캐스팅보터에 공 넘어간 고려아연 분쟁, 앞으로 변수는",인포스탁
2024-11-14,"금감원장 ""공매도 금지 낯부끄러운 일…내년 3월 재개""",인포스탁
2024-11-14,[연합뉴스 이 시각 헤드라인] - 14:30,연합뉴스
2024-11-14,"영풍·MBK, 고려아연 이사진 상대로 7000억 손해배상 청구",이투데이
2024-11-14,[인수 뉴스] 부자네스탁론 “와우스탁론을 품다”,한국경제
2024-11-14,[특징주] 고려아연 유상증자 철회에 7%대 오름세,이투데이
2024-11-14,"코스피, 기관 매수세 속 2430선 회복 시도…삼성전자 1%↑",이데일리
2024-11-14,코스피 하락률 상위 20종목(직전 30분 기준),인포스탁
2024-11-14,고려아연 유증 철회에도 이복현 금감원장 “상당히 유의미한 사실 확인... 조사는 그,조선비즈
2024-11-14,"이복현 ""고려아연 유상증자 철회, 조사에 영향 안 줄 듯""",연합뉴스
2024-11-14,골치 아픈 DSR 심사 없이 누구나 4배 투자금 활용 가능! 신용미수 대환도 OK!,서울경제
2024-11-14,코스피 상승률 상위 20종목(직전 30분 기준),인포스탁
2024-11-14,"고려아연, +6.52% VI 발동",조선비즈
2024-11-14,[초동시각]고려아연 지배구조 개편안 속 '숨은 전략',아시아경제
2024-11-14,"MBK, 고려아연 매수단가 87만원…언제까지 장내매수할까",한국경제
2024-11-14,"[특징주]고려아연, 경영권 분쟁 일단락되나…3%대 약세",이데일리
2024-11-14,[특징주]고려아연 4.48%↓‥93만7천원에 장시작,아시아경제
2024-11-14,[벼랑 끝 韓증시]① 세계 꼴찌 추락 이유 셋… 실적 부진·신뢰 훼손·대체 투자처,조선비즈
2024-11-14,“우리는 다르다”…고려아연 이사회 독립성 강화 ‘동상이몽’ [투자360],헤럴드경제
2024-11-14,▶▶ 충격! 여의도 증권가 발칵 뒤집은 무료 추천주 화제!,헤럴드경제
2024-11-14,"MBK·영풍, 고려아연 이사에 ‘7000억’ 손해배상 청구한다 [투자360]",헤럴드경제
2024-11-14,고려아연(주) (정정)유상증자결정,거래소공시
2024-11-14,"[[ 11월 14일 ]] ""급등"" 예정인 종목 5개, 신청시 문자 즉시 발송!!",인포스탁
2024-11-14,■■■[급등주]■■■[무료받기]■■■[클릭]■■■,인포스탁
2024-11-14,유상증자 철회 후 주총 ‘승부수’ 던진 최윤범···주주소통·환원책 꺼내 [시그널],서울경제
2024-11-14,"영풍·MBK, 최윤범 회장 포함 고려아연 이사들 상대 7000억 손해배상 청구 [시그널]",서울경제
2024-11-14,"영풍·MBK, 고려아연 이사들 상대 주주대표소송…7천억 손해배상 청구",연합뉴스
2024-11-13,"MBK ""최윤범, 고려아연 회장직 유지는 현재와 같은 경영권 사유화""",뉴스핌
2024-11-13,"[[ 11월 14일 ]] ""급등"" 예정인 종목 5개, 신청시 문자 즉시 발송!!",인포스탁
2024-11-13,"[[ 11월 14일 ]] ""급등"" 예정인 종목 5개, 신청시 문자 즉시 발송!!",인포스탁
2024-11-13,"MBK ""고려아연 MOM, 2대주주가 지배주주에 거부권""[fn마켓워치]",파이낸셜뉴스
2024-11-13,"MBK·영풍 ""고려아연 최윤범, 본인 지위 유지하겠다는 뜻""(종합)",연합뉴스
